community,closest.hospital.address,distance.to.hospital.km
DOUGLAS,2525 S. Michigan,1.35
OAKLAND,500 E. 51st Street,2.49
FULLER PARK,500 E. 51st Street,1.73
GRAND BOULEVARD,500 E. 51st Street,1.2
KENWOOD,500 E. 51st Street,1.59
LINCOLN SQUARE,5145 N. California,0.92
WASHINGTON PARK,5841 S. Maryland,1.2
HYDE PARK,5841 S. Maryland,1.2
WOODLAWN,East 65th St. at Lake Michigan,0.6
ROGERS PARK,6130 N. Sheridan,2.13
JEFFERSON PARK,4200 N. Oak Park Avenue,3.41
FOREST GLEN,7435 W. Talcott,4.68
NORTH PARK,5145 N. California,2.28
ALBANY PARK,5145 N. California,2.05
PORTAGE PARK,5645 W. Addison,1.01
IRVING PARK,4058 W. Melrose,1.54
DUNNING,4200 N. Oak Park Avenue,1.23
MONTCLARE,2211 N. Oak Park Avenue,1.12
BELMONT CRAGIN,5645 W. Addison,2.04
WEST RIDGE,5145 N. California,2.98
HERMOSA,4058 W. Melrose,1.85
AVONDALE,4058 W. Melrose,1.43
LOGAN SQUARE,1431 N. Claremont,2.08
HUMBOLDT PARK,3240 W. Franklin,1.49
WEST TOWN,2233 W. Division,0.55
AUSTIN,645 S. Central Avenue,2.46
WEST GARFIELD PARK,3435 W. Van Buren,1.54
EAST GARFIELD PARK,3435 W. Van Buren,0.68
NEAR WEST SIDE,1653 W. Congress,0.42
NORTH LAWNDALE,2875 W. 19th Street,1.66
UPTOWN,4646 N. Marine Drive,0.55
SOUTH LAWNDALE,2875 W. 19th Street,2.21
LOWER WEST SIDE,1740 W. Taylor,2.14
NEAR SOUTH SIDE,2525 S. Michigan,1.16
ARMOUR SQUARE,2525 S. Michigan,1.07
NORWOOD PARK,7435 W. Talcott,0.94
NEAR NORTH SIDE,2300 Children's Plaza,1.02
LOOP,251 E. Huron,1.79
SOUTH SHORE,7531 S. Stony Island,1.1
CHATHAM,7531 S. Stony Island,3.22
AVALON PARK,7531 S. Stony Island,1.49
SOUTH CHICAGO,8012 S. Crandon,1.72
BURNSIDE,2320 E.  93rd Street,2.38
MCKINLEY PARK,2875 W. 19th Street,3.53
LAKE VIEW,836 W. Wellington,0.92
CALUMET HEIGHTS,2320 E.  93rd Street,0.53
ROSELAND,45 W. 111th Street,1.61
NORTH CENTER,2544 W. Montrose,1.71
PULLMAN,45 W. 111th Street,2.78
SOUTH DEERING,2320 E.  93rd Street,4
EAST SIDE,2320 E.  93rd Street,3.48
WEST PULLMAN,45 W. 111th Street,2.2
RIVERDALE,45 W. 111th Street,4.07
HEGEWISCH,45 W. 111th Street,7.5
GARFIELD RIDGE,2701 W. 68th Street,6.66
ARCHER HEIGHTS,2701 W. 68th Street,5.43
BRIGHTON PARK,2875 W. 19th Street,4.2
BRIDGEPORT,2525 S. Michigan,2.47
NEW CITY,500 E. 51st Street,3.86
WEST ELSDON,2701 W. 68th Street,3.73
GAGE PARK,2701 W. 68th Street,2.95
CLEARING,2701 W. 68th Street,6.4
WEST LAWN,2701 W. 68th Street,2.84
CHICAGO LAWN,2701 W. 68th Street,0.4
WEST ENGLEWOOD,2701 W. 68th Street,2.3
ENGLEWOOD,5841 S. Maryland,3.38
GREATER GRAND CROSSING,East 65th St. at Lake Michigan,1.93
LINCOLN PARK,836 W. Wellington,1.57
ASHBURN,2701 W. 68th Street,2.9
AUBURN GRESHAM,2701 W. 68th Street,4.1
BEVERLY,45 W. 111th Street,4.69
WASHINGTON HEIGHT,45 W. 111th Street,3.39
MOUNT GREENWOOD,45 W. 111th Street,7.24
MORGAN PARK,45 W. 111th Street,3.58
O'HARE,7435 W. Talcott,6.71
EDGEWATER,6130 N. Sheridan,0.98
EDISON PARK,7435 W. Talcott,2.22